id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
1,BP20007,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,46,20,Hutan,Mangrove,Rakun,1.4253237,102.3078656,28,0.52,Belum,-,-,Burhanuddin,10/4/2021 10:17,"200,000.00",3.13,-,Krisnawati et al. (2012),media/1633334988620.jpg,media/1633335022924.jpg,media/1633335123820.jpg,media/1633335464467.jpg,adopsipohonriau/1
2,BP20008,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,35,24,Hutan,Mangrove,Rakun,1.4252082,102.3082715,59,0.5,Belum,-,-,Burhanuddin,10/4/2021 10:25,"200,000.00",1.62,-,Krisnawati et al. (2012),media/1633335715273.jpg,media/1633335750020.jpg,media/1633335820118.jpg,media/1633335888557.jpg,adopsipohonriau/2
3,BP20009,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,31,24,Hutan,Mangrove,Rakun,1.4250917,102.3082189,-1,0.52,Belum,-,-,Burhanuddin,10/4/2021 10:32,"200,000.00",1.21,-,Krisnawati et al. (2012),media/1633336576267.jpg,media/1633336605776.jpg,media/1633336305649.jpg,media/1633336348249.jpg,adopsipohonriau/3
4,BP20002,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,35,20,Hutan,Mangrove,Rakun,1.4254475,102.3082651,22.47373013,0.48,Belum,-,-,Burhanuddin,10/4/2021 9:28,"200,000.00",1.62,-,Krisnawati et al. (2012),media/1633332212642.jpg,media/1633332240107.jpg,media/1633332339334.jpg,media/1633332476260.jpg,adopsipohonriau/4
5,BP20003,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,46,25,Hutan,Mangrove,Rakun,1.4253960,102.3082398,0.421285269,0.49,Belum,-,-,Burhanuddin,10/4/2021 9:36,"200,000.00",3.13,-,Krisnawati et al. (2012),media/1633332795226.jpg,media/1633332827244.jpg,media/1633332933173.jpg,media/1633332985045.jpg,adopsipohonriau/5
6,BP20004,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,55,24,Hutan,Mangrove,Rakun,1.4253773,102.3081034,0.818601013,0.5,Belum,-,-,Burhanuddin,10/4/2021 9:45,"200,000.00",4.81,-,Krisnawati et al. (2012),media/1633333382658.jpg,media/1633333411123.jpg,media/1633333444823.jpg,media/1633333499879.jpg,adopsipohonriau/6
7,BP20005,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,33,25,Hutan,Mangrove,Rakun,1.4254270,102.3082349,14.58876572,0.49,Belum,-,-,Burhanuddin,10/4/2021 9:51,"200,000.00",1.41,-,Krisnawati et al. (2012),media/1633333700486.jpg,media/1633333718045.jpg,media/1633333809219.jpg,media/1633333902542.jpg,adopsipohonriau/7
8,BP20006,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,33,20,Hutan,Mangrove,Rakun,1.4254749,102.3081179,7.851561972,0.49,Belum,-,-,Burhanuddin,10/4/2021 10:04,"200,000.00",1.41,-,Krisnawati et al. (2012),media/1633334391030.jpg,media/1633334414043.jpg,media/1633334546543.jpg,media/1633334644316.jpg,adopsipohonriau/8
9,BP20010,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,27,18,Hutan,Mangrove,Rakun,1.4248745,102.3080981,-25,0.55,Belum,-,-,Burhanuddin,10/4/2021 10:47,"200,000.00",0.87,-,Krisnawati et al. (2012),media/1633337038914.jpg,media/1633337063303.jpg,media/1633337108161.jpg,media/1633337196741.jpg,adopsipohonriau/9
10,BP20001,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,51,25,Hutan,Mangrove,Rakun,1.4253994,102.3079761,19.76153708,0.51,Belum,-,-,Burhanuddin,10/4/2021 9:18,"200,000.00",4.01,-,Krisnawati et al. (2012),media/1633331324417.jpg,media/1633331375469.jpg,media/1633331466423.jpg,media/1633331743207.jpg,adopsipohonriau/10
11,BP10001,Ramin,Gonystylus bancanus,Pohon Dewasa,icon/mature_tree.svg,-,30,25,Hutan Desa Sungai Linau,Gambut,LPHD Sungai Linau,1.2061186,102.0002489,33.30017358,6.27,Belum,-,-,Juwono S.,10/4/2021 9:41,"200,000.00",699.91,-,Brown (1997),media/1633333099787.jpg,media/1633333142717.jpg,media/1633333175507.jpg,media/1633333235085.jpg,adopsipohonriau/11
